,ticker,quarter_end_date,nav,announcement_date,nav_ret
43,ARCC,2015-03-31,16.71,2015-05-05,
42,ARCC,2015-06-30,16.8,2015-08-04,0.0053859964093356805
41,ARCC,2015-09-30,16.79,2015-11-04,-0.0005952380952382041
40,ARCC,2015-12-31,16.46,2016-02-24,-0.01965455628350199
39,ARCC,2016-03-31,16.5,2016-05-04,0.002430133657351119
38,ARCC,2016-06-30,16.58,2016-08-03,0.004848484848484658
37,ARCC,2016-09-30,16.59,2016-11-02,0.0006031363088059294
36,ARCC,2016-12-31,16.45,2017-02-22,-0.008438818565400852
35,ARCC,2017-03-31,16.53,2017-05-03,0.004863221884498614
34,ARCC,2017-06-30,16.54,2017-08-02,0.000604960677555777
33,ARCC,2017-09-30,16.49,2017-11-02,-0.0030229746070133956
32,ARCC,2017-12-31,16.65,2018-02-13,0.009702850212249814
31,ARCC,2018-03-31,16.96,2018-05-02,0.0186186186186188
30,ARCC,2018-06-30,17.05,2018-08-01,0.005306603773584939
29,ARCC,2018-09-30,17.16,2018-10-31,0.006451612903225712
28,ARCC,2018-12-31,17.12,2019-02-12,-0.002331002331002252
27,ARCC,2019-03-31,17.21,2019-04-30,0.005257009345794428
26,ARCC,2019-06-30,17.27,2019-07-30,0.0034863451481697005
25,ARCC,2019-09-30,17.26,2019-10-30,-0.0005790387955991738
24,ARCC,2019-12-31,17.32,2020-02-12,0.0034762456546928444
23,ARCC,2020-03-31,15.58,2020-05-05,-0.10046189376443415
22,ARCC,2020-06-30,15.83,2020-08-04,0.016046213093709794
21,ARCC,2020-09-30,16.48,2020-10-27,0.04106127605811749
20,ARCC,2020-12-31,16.97,2021-02-10,0.029733009708737823
19,ARCC,2021-03-31,17.45,2021-04-27,0.02828520919269306
18,ARCC,2021-06-30,18.12,2021-07-27,0.03839541547277947
17,ARCC,2021-09-30,18.52,2021-10-26,0.02207505518763786
16,ARCC,2021-12-31,18.96,2022-02-09,0.023758099352051865
15,ARCC,2022-03-31,19.03,2022-04-26,0.003691983122362963
14,ARCC,2022-06-30,18.81,2022-07-26,-0.011560693641618602
13,ARCC,2022-09-30,18.56,2022-10-25,-0.01329080276448702
12,ARCC,2022-12-31,18.4,2023-02-07,-0.008620689655172376
11,ARCC,2023-03-31,18.45,2023-04-25,0.0027173913043478937
10,ARCC,2023-06-30,18.58,2023-07-25,0.00704607046070449
9,ARCC,2023-09-30,18.99,2023-10-24,0.022066738428417665
8,ARCC,2023-12-31,19.24,2024-02-07,0.01316482359136395
7,ARCC,2024-03-31,19.53,2024-05-01,0.015072765072765115
6,ARCC,2024-06-30,19.61,2024-07-30,0.004096262160778297
5,ARCC,2024-09-30,19.74,2024-10-30,0.006629270780214025
4,ARCC,2024-12-31,19.89,2025-02-05,0.007598784194529085
3,ARCC,2025-03-31,19.82,2025-04-29,-0.0035193564605329186
2,ARCC,2025-06-30,19.9,2025-07-29,0.004036326942482349
1,ARCC,2025-09-30,20.01,2025-10-28,0.005527638190955031
0,ARCC,2025-12-31,19.94,2026-02-04,-0.0034982508745626806
87,MAIN,2015-03-31,21.12,2015-05-07,
86,MAIN,2015-06-30,21.51,2015-08-06,0.01846590909090917
85,MAIN,2015-09-30,21.56,2015-11-05,0.0023245002324499
84,MAIN,2015-12-31,21.24,2016-02-25,-0.014842300556586308
83,MAIN,2016-03-31,21.25,2016-05-05,0.0004708097928438626
82,MAIN,2016-06-30,21.5,2016-08-04,0.0117647058823529
81,MAIN,2016-09-30,21.9,2016-11-03,0.018604651162790642
80,MAIN,2016-12-31,22.1,2017-02-23,0.009132420091324311
79,MAIN,2017-03-31,22.45,2017-05-04,0.015837104072398134
78,MAIN,2017-06-30,22.85,2017-08-03,0.017817371937639326
77,MAIN,2017-09-30,23.15,2017-11-02,0.013129102844638751
76,MAIN,2017-12-31,23.53,2018-02-22,0.016414686825054092
75,MAIN,2018-03-31,23.65,2018-05-03,0.005099872503187219
74,MAIN,2018-06-30,23.95,2018-08-02,0.012684989429175397
73,MAIN,2018-09-30,24.71,2018-11-01,0.03173277661795404
72,MAIN,2018-12-31,24.09,2019-02-21,-0.025091056252529387
71,MAIN,2019-03-31,24.2,2019-05-09,0.004566210045662045
70,MAIN,2019-06-30,24.3,2019-08-08,0.004132231404958775
69,MAIN,2019-09-30,23.46,2019-11-07,-0.03456790123456788
68,MAIN,2019-12-31,23.91,2020-02-27,0.019181585677749302
67,MAIN,2020-03-31,20.91,2020-05-07,-0.12547051442910917
66,MAIN,2020-06-30,20.85,2020-08-06,-0.0028694404591104172
65,MAIN,2020-09-30,21.52,2020-11-05,0.03213429256594713
64,MAIN,2020-12-31,22.35,2021-02-25,0.038568773234200826
63,MAIN,2021-03-31,22.65,2021-05-06,0.01342281879194629
62,MAIN,2021-06-30,23.42,2021-08-05,0.0339955849889626
61,MAIN,2021-09-30,24.27,2021-11-04,0.03629376601195555
60,MAIN,2021-12-31,25.29,2022-02-24,0.04202719406674915
59,MAIN,2022-03-31,25.89,2022-05-05,0.023724792408066575
58,MAIN,2022-06-30,25.37,2022-08-04,-0.02008497489378136
57,MAIN,2022-09-30,25.94,2022-11-03,0.022467481277098855
56,MAIN,2022-12-31,26.86,2023-02-23,0.03546646106399365
55,MAIN,2023-03-31,27.23,2023-05-04,0.013775130305286654
54,MAIN,2023-06-30,27.69,2023-08-03,0.016893132574366643
53,MAIN,2023-09-30,28.33,2023-11-02,0.023113037197544095
52,MAIN,2023-12-31,29.2,2024-02-22,0.03070949523473354
51,MAIN,2024-03-31,29.54,2024-05-09,0.011643835616438336
50,MAIN,2024-06-30,29.8,2024-08-08,0.008801624915369066
49,MAIN,2024-09-30,29.8,2024-11-07,0.0
48,MAIN,2024-12-31,30.54,2025-02-20,0.024832214765100558
47,MAIN,2025-03-31,30.57,2025-05-08,0.0009823182711199419
46,MAIN,2025-06-30,30.58,2025-08-07,0.0003271180896302628
45,MAIN,2025-09-30,30.65,2025-11-06,0.00228907782864618
44,MAIN,2025-12-31,30.7,2026-02-20,0.0016313213703100793
